Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"When discovering Citrix Xen Hyper-V resources, which commands does ServiceNow Discovery use to find and map the hypervisor components?",multiple-choice,PowerShell commands via WMI,Xen (XE) and (XL) commands via SSH,VMware vSphere API calls,REST API queries to the Citrix controller,,,,,,,,,,,,2,"ServiceNow Discovery uses Xen (XE) and (XL) commands to discover Citrix Xen Hyper-V components. These commands allow Discovery to gather information about the Hyper-V Server, Associated Pools, VMs, Network and Storage, and their relationships with new and existing CIs.",Service Mapping Pattern Design
Which prerequisites must be verified before discovering Citrix Xen Hyper-V resources? (Choose two.),multiple-choice,Pool admin RBAC role for SSH access,WMI credentials with domain admin privileges,MID Server reachability to the target device,VMware vCenter connection established,,,,,,,,,,,,"1,3","Before discovering Citrix Xen Hyper-V resources, you must verify that the pool admin RBAC role is configured for SSH access to the Linux server hosting the hypervisor, and that the MID Server has reachability to the target device. These are essential prerequisites documented for the Citrix Xen Hyper-V pattern.",Service Mapping Pattern Design
Which system property must be set to true to enable network router discovery in ServiceNow?,multiple-choice,glide.discovery.network_router_enable,glide.discovery.L3_mapping,glide.discovery.router_protocol,glide.discovery.ip_range_scan,,,,,,,,,,,,2,The glide.discovery.L3_mapping system property must be set to true to enable network router discovery. This property is configured by navigating to sys_properties.list and verifying or setting its value.,Service Mapping Pattern Design
Which roles are preconfigured by Service Mapping to manage application services? (Choose two.),multiple-choice,service_mapping_admin,discovery_admin,sm_app_owner,cmdb_admin,,,,,,,,,,,,"1,3","Service Mapping provides preconfigured roles including service_mapping_admin (for setting up Service Mapping, mapping/maintaining services, and advanced configuration) and sm_app_owner (for service owners who provide mapping information and review/approve mapping results). The service_mapping_user role is also preconfigured but not listed in these options.",Service Mapping Configuration
What capability does the app_service_user role provide compared to the itil role for viewing application services?,multiple-choice,app_service_user can view service instances while itil cannot view any,"Both roles can view all service instances, but only app_service_user can use the getContent REST API",itil role has more permissions than app_service_user for service viewing,app_service_user can modify services while itil is view-only,,,,,,,,,,,,2,"The app_service_user role allows viewing maps for operational service instances AND retrieving service content using the getContent - GET REST API. The itil role contains the app_service_user role and can view all service instances, but the REST API capability is specifically documented for app_service_user.",Service Mapping Configuration
"In a hierarchy of service groups, what happens when a user is granted access to a parent service group?",multiple-choice,Access must be explicitly granted to each child service group,Access to the parent automatically grants access to all child service groups,"Only immediate children inherit access, not deeper levels",Child groups must be configured to inherit parent permissions,,,,,,,,,,,,2,"In a hierarchy of service groups, access to a parent service group automatically grants access to all the child service groups. This makes managing access to large numbers of services more practical, especially in large organizations.",Service Mapping Configuration
How does Service Mapping classify discovery errors? (Choose two.),multiple-choice,"By their root cause category such as Configuration, Network, and Credentials",By alphabetical order of error messages,"By impact level: high, medium, and low impact on services",By the MID Server that encountered the error,,,,,,,,,,,,"1,3","Service Mapping classifies errors by their root cause category (Configuration, Network, Credentials, etc.) and also organizes them by high, medium, and low impact on the services. This dual classification helps administrators prioritize and fix errors efficiently.",Discovery Configuration
Under what conditions are discovery errors not assigned to any category in Service Mapping?,multiple-choice,When the MID Server is offline,"After upgrading from Jakarta release or earlier, or when CIs with errors are removed and readded to services",When credentials are missing for all targets,When discovery schedules are paused,,,,,,,,,,,,2,"Discovery errors may be uncategorized in two scenarios: after upgrading Service Mapping from Jakarta release or earlier, or when CIs that have errors are first removed from application services and then readded. In these cases, administrators can categorize them by clicking 'Rediscover Relevant CIs'.",Discovery Configuration
An administrator needs to notify an external team member who doesn't use ServiceNow to fix a discovery error. Which action should they use?,multiple-choice,Retry Discovery,Mark as assigned with a comment,View instructions,View affected services,,,,,,,,,,,,2,"The 'Mark as assigned' action is used when planning to perform an out-of-band action to notify a person to fix the error, typically someone who does not use the ServiceNow instance. You can enter a comment in the Mark as Assigned popup, which sets the Error Status to Assigned.",Discovery Configuration
What is the relationship between tag-based mapping results and pattern-based mapping results in Service Mapping?,multiple-choice,Tag-based mapping produces identical results to pattern-based mapping,Tag-based mapping produces a hierarchical service map that may be less precise than pattern-based mapping,Pattern-based mapping always requires tag-based mapping to run first,Tag-based mapping provides more detailed CI relationships than pattern-based mapping,,,,,,,,,,,,2,"The result of tag-based mapping is a hierarchical service map that may be less precise than the application service created using patterns. Tag-based mapping uses discovered tags to group CIs, while pattern-based mapping uses detailed discovery patterns for precise CI identification.",Machine Learning
